customer_id,region,signup_date,mrr,tenure_months,churned
CUST-0001,South,2024-09-29,252.44,3,0
CUST-0002,East,2023-12-05,64.42,13,0
CUST-0003,South,2024-11-03,808.43,1,0
CUST-0004,East,2023-07-21,741.93,17,1
CUST-0005,North,2023-06-11,825.16,19,0
CUST-0006,West,2024-05-01,293.43,8,0
CUST-0007,North,2024-07-16,407.96,5,1
CUST-0008,East,2024-01-07,522.52,12,0
CUST-0009,East,2024-11-01,190.66,2,0
CUST-0010,South,2024-08-19,299.27,4,0
CUST-0011,North,2024-05-09,479.31,7,1
CUST-0012,East,2023-07-09,686.80,18,0
CUST-0013,South,2024-10-30,33.89,2,0
CUST-0014,East,2024-06-28,397.33,6,0
CUST-0015,North,2023-06-26,511.97,18,0
CUST-0016,North,2024-12-21,792.76,0,0
CUST-0017,North,2023-03-12,69.52,22,0
CUST-0018,West,2023-01-19,736.43,23,0
CUST-0019,East,2024-01-14,461.63,11,0
CUST-0020,West,2023-10-31,564.57,14,0
CUST-0021,East,2023-12-02,270.64,13,0
CUST-0022,South,2023-12-23,521.70,12,1
CUST-0023,West,2024-03-23,48.76,9,0
CUST-0024,West,2023-07-30,588.68,17,0
CUST-0025,East,2024-02-09,693.42,10,0
CUST-0026,North,2024-06-26,751.12,6,0
CUST-0027,North,2023-10-11,208.85,14,0
CUST-0028,East,2023-01-07,744.39,24,1
CUST-0029,East,2023-11-13,49.54,13,0
CUST-0030,South,2024-10-07,437.96,2,0
CUST-0031,West,2024-01-25,362.87,11,0
CUST-0032,West,2023-09-05,583.17,16,0
CUST-0033,North,2023-03-15,308.23,21,0
CUST-0034,East,2023-01-09,310.69,24,0
CUST-0035,West,2024-07-21,34.31,5,0
CUST-0036,South,2024-10-06,661.54,2,1
CUST-0037,North,2023-01-20,627.73,23,0
CUST-0038,South,2023-01-27,410.22,23,0
CUST-0039,East,2024-04-11,325.66,8,0
CUST-0040,North,2024-11-04,605.91,1,0
CUST-0041,East,2023-08-16,716.16,16,0
CUST-0042,West,2023-09-05,29.94,16,1
CUST-0043,East,2024-07-22,675.67,5,0
CUST-0044,East,2024-05-15,175.16,7,1
CUST-0045,South,2024-04-05,254.40,9,0
CUST-0046,West,2023-08-19,754.85,16,0
CUST-0047,East,2023-07-12,885.99,17,0
CUST-0048,West,2024-09-08,744.22,3,1
CUST-0049,South,2023-12-13,870.09,12,0
CUST-0050,East,2023-04-05,442.88,21,0
CUST-0051,South,2023-01-03,785.34,24,0
CUST-0052,South,2024-05-18,390.57,7,1
CUST-0053,East,2023-08-27,247.32,16,0
CUST-0054,East,2023-08-27,394.83,16,0
CUST-0055,East,2023-07-26,470.11,17,0
CUST-0056,North,2023-06-13,203.72,18,0
CUST-0057,South,2024-08-08,369.41,4,0
CUST-0058,West,2024-05-29,33.81,7,0
CUST-0059,West,2024-05-22,483.92,7,0
CUST-0060,East,2023-04-06,328.23,21,0
CUST-0061,North,2023-11-23,789.77,13,1
CUST-0062,North,2023-04-29,399.31,20,0
CUST-0063,East,2023-01-12,497.47,24,0
CUST-0064,West,2024-07-15,31.39,5,0
CUST-0065,East,2024-03-12,845.57,9,0
CUST-0066,North,2023-10-14,584.91,14,0
CUST-0067,North,2023-02-12,676.91,22,0
CUST-0068,South,2023-07-26,218.38,17,0
CUST-0069,South,2024-05-17,138.76,7,0
CUST-0070,South,2023-12-02,321.80,13,0
CUST-0071,East,2023-05-06,81.95,20,1
CUST-0072,East,2023-01-06,672.18,24,0
CUST-0073,West,2024-09-12,643.68,3,1
CUST-0074,East,2023-06-06,722.11,19,0
CUST-0075,South,2024-02-19,605.89,10,0
CUST-0076,South,2023-02-24,354.34,22,0
CUST-0077,South,2023-01-01,595.07,24,0
CUST-0078,East,2024-09-23,126.55,3,0
CUST-0079,North,2024-09-23,748.60,3,0
