week,region,revenue,orders,new_customers
2025-01-05,North,43833,224,30
2025-01-05,South,28639,182,26
2025-01-05,East,40858,203,25
2025-01-05,West,25695,199,23
2025-01-12,North,41850,225,23
2025-01-12,South,33711,222,31
2025-01-12,East,38091,172,27
2025-01-12,West,27494,191,17
2025-01-19,North,41707,252,40
2025-01-19,South,31133,197,27
2025-01-19,East,36811,182,15
2025-01-19,West,27205,197,20
2025-01-26,North,43495,253,40
2025-01-26,South,36289,224,31
2025-01-26,East,39662,175,27
2025-01-26,West,30914,230,20
2025-02-02,North,44265,240,35
2025-02-02,South,31711,206,19
2025-02-02,East,37396,185,19
2025-02-02,West,28325,196,27
2025-02-09,North,48178,248,28
2025-02-09,South,38782,256,29
2025-02-09,East,41682,191,20
2025-02-09,West,30462,224,32
2025-02-16,North,48178,273,41
2025-02-16,South,39721,236,34
2025-02-16,East,43636,218,32
2025-02-16,West,30430,224,32
2025-02-23,North,45498,259,32
2025-02-23,South,34463,228,22
2025-02-23,East,41714,184,16
2025-02-23,West,26942,180,25
2025-03-02,North,53433,317,29
2025-03-02,South,36749,227,23
2025-03-02,East,47126,213,28
2025-03-02,West,32396,245,21
2025-03-09,North,51584,306,34
2025-03-09,South,34317,230,24
2025-03-09,East,44400,219,20
2025-03-09,West,32937,257,22
2025-03-16,North,49132,252,34
2025-03-16,South,36523,219,28
2025-03-16,East,37031,171,25
2025-03-16,West,30354,203,30
2025-03-23,North,39489,211,19
2025-03-23,South,29536,176,15
2025-03-23,East,39691,208,24
2025-03-23,West,26674,191,30
2025-03-30,North,48654,260,41
2025-03-30,South,36455,225,33
2025-03-30,East,45378,230,32
2025-03-30,West,29301,192,28
2025-04-06,North,48806,257,21
2025-04-06,South,36571,258,24
2025-04-06,East,46416,210,21
2025-04-06,West,32209,218,20
2025-04-13,North,48059,283,38
2025-04-13,South,41922,251,33
2025-04-13,East,41457,203,19
2025-04-13,West,36133,267,33
2025-04-20,North,44935,228,24
2025-04-20,South,36735,225,27
2025-04-20,East,41585,181,28
2025-04-20,West,28943,213,17
2025-04-27,North,48414,285,34
2025-04-27,South,35351,214,24
2025-04-27,East,40636,198,17
2025-04-27,West,30315,216,34
2025-05-04,North,49633,282,30
2025-05-04,South,38109,256,32
2025-05-04,East,41861,198,31
2025-05-04,West,32801,223,23
2025-05-11,North,46674,243,24
2025-05-11,South,31739,212,22
2025-05-11,East,40359,182,21
2025-05-11,West,32612,219,23
2025-05-18,North,47657,268,28
2025-05-18,South,31454,195,27
2025-05-18,East,43482,187,25
2025-05-18,West,28638,198,24
2025-05-25,North,46523,235,19
2025-05-25,South,37081,246,34
2025-05-25,East,39612,181,24
2025-05-25,West,28117,200,27
2025-06-01,North,44907,251,27
2025-06-01,South,34411,216,30
2025-06-01,East,38792,194,25
2025-06-01,West,30434,212,25
2025-06-08,North,39980,224,30
2025-06-08,South,29892,194,18
2025-06-08,East,39705,173,24
2025-06-08,West,26535,177,27
2025-06-15,North,44185,222,25
2025-06-15,South,33106,206,19
2025-06-15,East,40976,182,24
2025-06-15,West,29634,223,32
2025-06-22,North,53105,318,38
2025-06-22,South,38056,243,30
2025-06-22,East,41632,206,31
2025-06-22,West,37700,264,34
2025-06-29,North,44474,226,18
2025-06-29,South,39821,233,35
2025-06-29,East,44387,214,21
2025-06-29,West,34670,267,33
2025-07-06,North,42401,221,28
2025-07-06,South,34619,243,32
2025-07-06,East,36885,172,18
2025-07-06,West,31472,226,19
2025-07-13,North,38189,198,22
2025-07-13,South,29172,170,16
2025-07-13,East,32763,156,21
2025-07-13,West,26589,185,17
2025-07-20,North,48935,265,42
2025-07-20,South,41454,288,28
2025-07-20,East,44352,221,30
2025-07-20,West,36460,240,33
2025-07-27,North,43284,249,22
2025-07-27,South,36508,237,32
2025-07-27,East,42212,210,17
2025-07-27,West,32549,228,35
2025-08-03,North,41750,235,29
2025-08-03,South,32958,220,32
2025-08-03,East,34086,173,18
2025-08-03,West,29774,212,26
2025-08-10,North,44640,272,38
2025-08-10,South,36430,239,29
2025-08-10,East,41775,202,16
2025-08-10,West,34039,249,32
2025-08-17,North,52674,280,37
2025-08-17,South,35880,214,25
2025-08-17,East,46184,215,18
2025-08-17,West,35647,257,23
2025-08-24,North,48364,276,43
2025-08-24,South,33819,207,28
2025-08-24,East,43035,222,30
2025-08-24,West,28511,210,26
2025-08-31,North,42784,229,27
2025-08-31,South,34958,211,21
2025-08-31,East,37323,164,24
2025-08-31,West,30100,210,22
2025-09-07,North,53674,287,43
2025-09-07,South,34841,228,25
2025-09-07,East,42925,211,34
2025-09-07,West,32415,233,29
2025-09-14,North,42772,257,38
2025-09-14,South,40176,239,26
2025-09-14,East,37581,164,25
2025-09-14,West,31821,245,32
2025-09-21,North,50761,281,42
2025-09-21,South,40577,273,30
2025-09-21,East,39374,172,21
2025-09-21,West,34340,232,29
2025-09-28,North,49693,258,24
2025-09-28,South,38716,254,36
2025-09-28,East,47037,246,23
2025-09-28,West,36690,244,21
2025-10-05,North,43553,264,27
2025-10-05,South,34175,213,27
2025-10-05,East,38297,167,18
2025-10-05,West,36288,267,27
2025-10-12,North,46670,250,37
2025-10-12,South,33578,203,19
2025-10-12,East,42611,188,28
2025-10-12,West,29636,206,17
2025-10-19,North,46762,254,23
2025-10-19,South,36263,245,30
2025-10-19,East,37517,170,22
2025-10-19,West,34210,255,39
2025-10-26,North,48798,250,37
2025-10-26,South,39773,251,34
2025-10-26,East,40938,210,29
2025-10-26,West,33411,226,30
2025-11-02,North,49078,254,31
2025-11-02,South,33306,234,20
2025-11-02,East,43724,189,19
2025-11-02,West,33736,223,30
2025-11-09,North,41631,247,39
2025-11-09,South,31365,199,21
2025-11-09,East,36437,182,28
2025-11-09,West,32843,212,21
2025-11-16,North,47159,262,29
2025-11-16,South,41843,282,26
2025-11-16,East,38569,166,13
2025-11-16,West,35710,262,40
2025-11-23,North,48045,283,28
2025-11-23,South,37708,243,31
2025-11-23,East,46649,243,37
2025-11-23,West,34803,260,41
2025-11-30,North,45433,234,22
2025-11-30,South,38150,268,35
2025-11-30,East,45664,233,24
2025-11-30,West,36816,273,29
2025-12-07,North,44923,250,37
2025-12-07,South,34872,203,28
2025-12-07,East,37798,168,16
2025-12-07,West,34306,235,30
2025-12-14,North,48424,251,36
2025-12-14,South,37122,254,38
2025-12-14,East,42423,204,19
2025-12-14,West,37010,257,24
2025-12-21,North,41109,216,30
2025-12-21,South,34058,200,19
2025-12-21,East,34186,163,18
2025-12-21,West,32486,229,18
2025-12-28,North,47764,284,28
2025-12-28,South,41022,242,38
2025-12-28,East,38837,178,26
2025-12-28,West,31728,217,20
